주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
286-2-000080,유구읍 쌈지주차장,공영,노외,,충청남도 공주시 유구읍 석남리 337,30,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,충청남도 공주시,041-840-8503,36.5499645,126.9518724,2021-10-22,4500000,충청남도 공주시
286-2-000081,중학동 쌈지주차장,공영,노외,,충청남도 공주시 중학동 251-5,9,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,충청남도 공주시,041-840-8503,36.44579683,127.1208169,2021-10-22,4500000,충청남도 공주시
286-2-000082,욕룡동 쌈지주차장,공영,노외,,충청남도 공주시 옥룡동 284-45,12,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,충청남도 공주시,041-840-8503,36.455438,127.131975,2021-10-22,4500000,충청남도 공주시
286-2-000083,옥룡동 공영주차장,공영,노외,,충청남도 공주시 옥룡동 42-10,5,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,충청남도 공주시,041-840-8503,36.456319,127.136551,2021-10-22,4500000,충청남도 공주시
286-2-000084,옥룡동 공영주차장,공영,노외,,충청남도 공주시 옥룡동 11-11,33,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,충청남도 공주시,041-840-8503,36.457841,127.135184,2021-10-22,4500000,충청남도 공주시
286-2-000085,중동 공영주차장,공영,노외,,충청남도 공주시 중동 296-1,8,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,충청남도 공주시,041-840-8503,36.454492,127.1281993,2021-10-22,4500000,충청남도 공주시
286-2-000086,옥룡동 공영주차장,공영,노외,,충청남도 공주시 옥룡동 90-1,42,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,충청남도 공주시,041-840-8503,36.4487547,127.1360497,2021-10-22,4500000,충청남도 공주시
286-2-000087,다목적광장 주차장,공영,노외,,충청남도 공주시 금성동 69-1,83,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,충청남도 공주시,041-840-8503,36.46660804,127.123193,2021-10-22,4500000,충청남도 공주시
286-2-000088,신관동 쌈지주차장,공영,노외,,충청남도 공주시 신관동 193-6,7,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,충청남도 공주시,041-840-8503,36.4690608,127.1373999,2021-10-22,4500000,충청남도 공주시
286-2-000089,신관동 공영주차장,공영,노외,,충청남도 공주시 신관동 280-14,101,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,충청남도 공주시,041-840-8503,36.4751018,127.1459389,2021-10-22,4500000,충청남도 공주시
